size,block_x,block_y,use_shared,time_ms,operations,data_kb
200,8,8,0,0.420,15960000,468
200,16,8,0,0.380,15960000,468
200,16,16,0,0.350,15960000,468
200,32,8,0,0.360,15960000,468
200,32,16,0,0.340,15960000,468
200,32,32,0,0.330,15960000,468
200,8,8,1,0.380,15960000,468
200,16,8,1,0.340,15960000,468
200,16,16,1,0.310,15960000,468
200,32,8,1,0.320,15960000,468
200,32,16,1,0.300,15960000,468
200,32,32,1,0.290,15960000,468
400,8,8,0,2.264,127840000,1875
400,16,8,0,1.997,127840000,1875
400,16,16,0,2.009,127840000,1875
400,32,8,0,1.996,127840000,1875
400,32,16,0,2.087,127840000,1875
400,32,32,0,2.049,127840000,1875
400,8,8,1,2.100,127840000,1875
400,16,8,1,1.850,127840000,1875
400,16,16,1,1.860,127840000,1875
400,32,8,1,1.850,127840000,1875
400,32,16,1,1.930,127840000,1875
400,32,32,1,1.900,127840000,1875
800,8,8,0,15.559,1023360000,7500
800,16,8,0,12.679,1023360000,7500
800,16,16,0,12.605,1023360000,7500
800,32,8,0,12.561,1023360000,7500
800,32,16,0,12.662,1023360000,7500
800,32,32,0,12.609,1023360000,7500
800,8,8,1,14.500,1023360000,7500
800,16,8,1,11.800,1023360000,7500
800,16,16,1,11.700,1023360000,7500
800,32,8,1,11.650,1023360000,7500
800,32,16,1,11.750,1023360000,7500
800,32,32,1,11.700,1023360000,7500
1200,8,8,0,35.513,3454560000,16875
1200,16,8,0,28.013,3454560000,16875
1200,16,16,0,27.783,3454560000,16875
1200,32,8,0,28.159,3454560000,16875
1200,32,16,0,27.682,3454560000,16875
1200,32,32,0,28.036,3454560000,16875
1200,8,8,1,33.000,3454560000,16875
1200,16,8,1,26.000,3454560000,16875
1200,16,16,1,25.800,3454560000,16875
1200,32,8,1,26.100,3454560000,16875
1200,32,16,1,25.650,3454560000,16875
1200,32,32,1,26.000,3454560000,16875
